symptoms,diagnosis
itching skin rash nodal skin eruptions dischromic  patches,fungal infection
skin rash nodal skin eruptions dischromic  patches,fungal infection
itching nodal skin eruptions dischromic  patches,fungal infection
itching skin rash dischromic  patches,fungal infection
itching skin rash nodal skin eruptions,fungal infection
skin rash nodal skin eruptions dischromic  patches,fungal infection
itching nodal skin eruptions dischromic  patches,fungal infection
itching skin rash dischromic  patches,fungal infection
itching skin rash nodal skin eruptions,fungal infection
itching skin rash nodal skin eruptions dischromic  patches,fungal infection
continuous sneezing shivering chills watering from eyes,allergy
shivering chills watering from eyes,allergy
continuous sneezing chills watering from eyes,allergy
continuous sneezing shivering watering from eyes,allergy
continuous sneezing shivering chills,allergy
shivering chills watering from eyes,allergy
continuous sneezing chills watering from eyes,allergy
continuous sneezing shivering watering from eyes,allergy
continuous sneezing shivering chills,allergy
continuous sneezing shivering chills watering from eyes,allergy
stomach pain acidity ulcers on tongue vomiting cough chest pain,gerd
stomach pain ulcers on tongue vomiting cough chest pain,gerd
stomach pain acidity vomiting cough chest pain,gerd
stomach pain acidity ulcers on tongue cough chest pain,gerd
stomach pain acidity ulcers on tongue vomiting chest pain,gerd
stomach pain acidity ulcers on tongue vomiting cough,gerd
acidity ulcers on tongue vomiting cough chest pain,gerd
stomach pain ulcers on tongue vomiting cough chest pain,gerd
stomach pain acidity vomiting cough chest pain,gerd
stomach pain acidity ulcers on tongue cough chest pain,gerd
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic cholestasis
vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic cholestasis
itching yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic cholestasis
itching vomiting nausea loss of appetite abdominal pain yellowing of eyes,chronic cholestasis
itching vomiting yellowish skin loss of appetite abdominal pain yellowing of eyes,chronic cholestasis
itching vomiting yellowish skin nausea abdominal pain yellowing of eyes,chronic cholestasis
itching vomiting yellowish skin nausea loss of appetite yellowing of eyes,chronic cholestasis
itching vomiting yellowish skin nausea loss of appetite abdominal pain,chronic cholestasis
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic cholestasis
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic cholestasis
itching skin rash stomach pain burning micturition spotting  urination,drug reaction
itching stomach pain burning micturition spotting  urination,drug reaction
itching skin rash burning micturition spotting  urination,drug reaction
itching skin rash stomach pain spotting  urination,drug reaction
itching skin rash stomach pain burning micturition,drug reaction
skin rash stomach pain burning micturition spotting  urination,drug reaction
itching stomach pain burning micturition spotting  urination,drug reaction
itching skin rash burning micturition spotting  urination,drug reaction
itching skin rash stomach pain spotting  urination,drug reaction
itching skin rash stomach pain burning micturition,drug reaction
vomiting loss of appetite abdominal pain passage of gases internal itching,peptic ulcer diseae
vomiting indigestion abdominal pain passage of gases internal itching,peptic ulcer diseae
indigestion loss of appetite abdominal pain passage of gases internal itching,peptic ulcer diseae
vomiting loss of appetite abdominal pain passage of gases internal itching,peptic ulcer diseae
vomiting indigestion abdominal pain passage of gases internal itching,peptic ulcer diseae
vomiting indigestion loss of appetite passage of gases internal itching,peptic ulcer diseae
vomiting indigestion loss of appetite abdominal pain internal itching,peptic ulcer diseae
vomiting indigestion loss of appetite abdominal pain passage of gases,peptic ulcer diseae
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic ulcer diseae
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,peptic ulcer diseae
muscle wasting patches in throat high fever extra marital contacts,aids
patches in throat high fever extra marital contacts,aids
muscle wasting high fever extra marital contacts,aids
muscle wasting patches in throat extra marital contacts,aids
muscle wasting patches in throat high fever,aids
muscle wasting patches in throat high fever extra marital contacts,aids
muscle wasting patches in throat high fever extra marital contacts,aids
patches in throat high fever extra marital contacts,aids
muscle wasting high fever extra marital contacts,aids
muscle wasting patches in throat high fever,aids
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes 
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes 
weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes 
fatigue restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes 
fatigue weight loss lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes 
fatigue weight loss restlessness irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes 
fatigue weight loss restlessness lethargy blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes 
fatigue weight loss restlessness lethargy irregular sugar level obesity excessive hunger increased appetite polyuria,diabetes 
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision excessive hunger increased appetite polyuria,diabetes 
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity increased appetite polyuria,diabetes 
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
sunken eyes dehydration diarrhoea,gastroenteritis
vomiting dehydration diarrhoea,gastroenteritis
vomiting sunken eyes diarrhoea,gastroenteritis
vomiting sunken eyes dehydration,gastroenteritis
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
sunken eyes dehydration diarrhoea,gastroenteritis
vomiting dehydration diarrhoea,gastroenteritis
vomiting sunken eyes diarrhoea,gastroenteritis
fatigue cough high fever breathlessness family history mucoid sputum,bronchial asthma
cough high fever breathlessness family history mucoid sputum,bronchial asthma
fatigue high fever breathlessness family history mucoid sputum,bronchial asthma
fatigue cough breathlessness family history mucoid sputum,bronchial asthma
fatigue cough high fever family history mucoid sputum,bronchial asthma
fatigue cough high fever breathlessness mucoid sputum,bronchial asthma
fatigue cough high fever breathlessness family history,bronchial asthma
fatigue cough high fever breathlessness family history mucoid sputum,bronchial asthma
cough high fever breathlessness family history mucoid sputum,bronchial asthma
fatigue high fever breathlessness family history mucoid sputum,bronchial asthma
headache chest pain dizziness loss of balance lack of concentration,hypertension 
chest pain dizziness loss of balance lack of concentration,hypertension 
headache dizziness loss of balance lack of concentration,hypertension 
headache chest pain loss of balance lack of concentration,hypertension 
headache chest pain dizziness lack of concentration,hypertension 
headache chest pain dizziness loss of balance,hypertension 
headache chest pain dizziness loss of balance lack of concentration,hypertension 
chest pain dizziness loss of balance lack of concentration,hypertension 
headache dizziness loss of balance lack of concentration,hypertension 
headache chest pain loss of balance lack of concentration,hypertension 
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
acidity headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
acidity indigestion blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
acidity indigestion headache excessive hunger stiff neck depression irritability visual disturbances,migraine
acidity indigestion headache blurred and distorted vision stiff neck depression irritability visual disturbances,migraine
acidity indigestion headache blurred and distorted vision excessive hunger depression irritability visual disturbances,migraine
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck irritability visual disturbances,migraine
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression visual disturbances,migraine
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability,migraine
back pain weakness in limbs neck pain dizziness loss of balance,cervical spondylosis
back pain weakness in limbs neck pain dizziness loss of balance,cervical spondylosis
weakness in limbs neck pain dizziness loss of balance,cervical spondylosis
back pain neck pain dizziness loss of balance,cervical spondylosis
back pain weakness in limbs dizziness loss of balance,cervical spondylosis
back pain weakness in limbs neck pain loss of balance,cervical spondylosis
back pain weakness in limbs neck pain dizziness,cervical spondylosis
back pain weakness in limbs neck pain dizziness loss of balance,cervical spondylosis
